cluster_type,omitted_cluster,n_remaining,change_point_ka,delta_loglik,older_rate,younger_rate
Sitename,GhGk-63,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Sitename,Sujula,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Sitename,Reeve Ranch Ruin,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Sitename,WKO013A,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Sitename,Nor Geghi 1,63,325.0,18.76591584341756,0.2631578947368421,0.9772727272727273
Sitename,China Harbor,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Sitename,Eel Point early,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Sitename,GAC Layers 1-3,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Sitename,GFJ,63,525.0,20.710557636623555,0.1875,0.9787234042553191
Sitename,Bokol Dora 1,63,525.0,17.49310768784931,0.2,0.9583333333333334
Sitename,Quincay cave,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Sitename,Rocourt,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Sitename,Champ Grande,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Sitename,Shag River Mouth,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Sitename,Su'ena,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Sitename,Willaumez Peninsula,62,525.0,18.296613678514834,0.1875,0.9565217391304348
