metric,spearman_with_contact_adjusted_ignition,p_value,n
density,0.571326711478908,2.783070014897653e-53,600
clustering,0.3152712199140545,2.5943657714420412e-15,600
mean_shortest_path,-0.5145417580472027,7.303077319154984e-42,600
degree_cv,-0.40683885102851264,2.5357582658443536e-25,600
modularity,-0.4665988693805533,9.080696149810861e-34,600
