N_rocky_HZ_planets,conditional_mean_eligible_exposure_Gyr,ABM_ignition_probability,max_f_complex_times_opportunity_rate_for_50pct_first_per_Gyr,max_f_complex_times_opportunity_rate_for_95pct_first_per_Gyr
100000000.0,1.0,0.5,1.3862943611198906e-08,1.0258658877510115e-09
1000000000.0,1.0,0.5,1.3862943611198906e-09,1.0258658877510115e-10
10000000000.0,1.0,0.5,1.3862943611198906e-10,1.0258658877510116e-11
100000000.0,4.0,0.5,3.4657359027997264e-09,2.564664719377529e-10
1000000000.0,4.0,0.5,3.4657359027997266e-10,2.5646647193775288e-11
10000000000.0,4.0,0.5,3.4657359027997266e-11,2.564664719377529e-12
100000000.0,10.0,0.5,1.3862943611198906e-09,1.0258658877510115e-10
1000000000.0,10.0,0.5,1.3862943611198906e-10,1.0258658877510116e-11
10000000000.0,10.0,0.5,1.3862943611198905e-11,1.0258658877510116e-12
