criterion,duration_generations,duration_years,estimated_contact_p50
permissive,40,1000,0.0881396822836816
permissive,60,1500,0.05451319002870285
permissive,80,2000,0.03492487355235229
primary,40,1000,0.0950824247607232
primary,60,1500,0.06105850622701177
primary,80,2000,0.0403111816779935
strict,40,1000,0.11519412643065255
strict,60,1500,0.07721424206322942
strict,80,2000,0.05285063717069615
