topology,pooled_p50,bootstrap_median_p50,bootstrap_ci_low,bootstrap_ci_high,network_realisations_per_contact,agent_replicates_per_network_contact,bootstrap_valid
Global,0.056363636363636366,0.05632996632996633,0.049695286195286195,0.06457142857142857,1,120,2000
Gravity,0.058064516129032254,0.057999999999999996,0.051627531882970736,0.06564130434782608,20,8,2000
Lattice,0.06666666666666667,0.06666666666666667,0.059148473635522655,0.07222222222222222,1,120,2000
Small-world,0.08177777777777778,0.08166666666666667,0.07393939393939394,0.08962962962962963,20,8,2000
Wheel,0.09727272727272727,0.09652173913043478,0.0902127659574468,0.103,1,120,2000
Scale-free,0.09641025641025641,0.09674418604651162,0.08142857142857142,0.10461538461538461,20,8,2000
Erdos-Renyi,0.09877551020408164,0.0989090909090909,0.08923076923076924,0.10566037735849056,20,8,2000
Ring,0.12,0.12,0.11184865900383141,0.13999999999999999,1,120,2000
Modular bridges,0.14307692307692307,0.1427027027027027,0.12,0.16,20,8,1999
