contact_probability,duration_generations,learn_base,learn_cognition,level_difficulty,teaching_max,innovation_rate,non_speciality_factor,skill_fitness_benefit,brain_cost,extra_models_max,recombination_strength,migration_scale,infrastructure_steepness,primary_ignitions,replicates,primary_probability,permissive_probability,strict_probability,median_final_repertoire,median_final_primary_fraction
0.18963471391586217,99.99851420587619,0.6448646232877814,0.3091891074810758,0.07322923646470422,0.1872429115299097,0.680980360056032,0.0009481437266764575,0.09672899500169302,0.618332617269427,1.1486104688252659,2.9561869222306907,0.07579017519975215,16.222981858614737,0,3,0.0,0.0,0.0,4.13125,0.0
0.064301119277831,73.88677688344217,0.687225505735264,0.28214823716556714,0.06832762406028198,0.1598704968742022,0.40142002570516677,0.004966831821211464,0.1070114748114037,0.7931906807670293,2.4047733755563474,3.8623084111059613,0.002061104031099494,7.223821390225914,0,3,0.0,0.0,0.0,4.453125,0.0
0.04726736795615448,56.68259686891206,0.6066790811419532,0.2978364152082774,0.059607691126261186,0.33922102170869495,0.5334022995219627,0.0005070605809436086,0.11495467959250849,0.4167911665657571,0.7183319641358354,2.6538090096810096,0.04221674962657505,14.420446102807382,0,3,0.0,0.0,0.0,4.775,0.0
0.11743107479603117,32.55292226556936,0.6941249433368479,0.38417286847581067,0.07558075165057157,0.24512426494948947,0.4475114950973814,0.0011552547482779106,0.03885503885328245,0.5640270964811159,3.3358982819155436,5.110383751753288,0.06430239166069217,17.539806949230776,0,3,0.0,0.0,0.0,6.053125,0.05625
0.13984977370830107,83.55330782094697,0.6091634872934985,0.32171272674420304,0.04329092728310176,0.1282768853854561,0.4256682103020989,0.011559718262404735,0.035616500373965146,0.3901756403971007,0.42987250213933614,7.353011133252254,0.025252803275009866,11.058445117233207,0,3,0.0,0.0,0.0,3.896875,0.0
0.1667219035076763,45.22400288983728,0.6530422105117835,0.3811608246467397,0.07017855434221876,0.00883448745983852,0.4711487339037028,0.0031186084382867243,0.03360862565489898,0.43850184605721576,4.4610691892263326,0.9231914855521994,0.03497870067860208,17.448517228444402,0,3,0.0,0.0,0.0,4.20625,0.0
0.06188306498018742,38.828325078570614,0.6695009178695674,0.2046530299215975,0.042216846017342116,0.14931565141656378,0.60214452627107,0.010547676730736751,0.0984362070810778,0.38349288577204,6.7882414218160765,0.5481109240117271,0.020244008307332962,9.069936793584478,0,3,0.0,0.0,0.0,11.203125,0.24375
0.15040345183579484,21.963147739180503,0.6439727030146648,0.3295076585187443,0.07862826819056237,0.2651604743577793,0.37528535746560765,0.00481868225869482,0.034951867572132915,0.5615225173113694,3.9818558134055007,5.0748622540813715,0.05834597829012087,11.766816344795073,0,3,0.0,0.0,0.0,3.74375,0.0
0.17485853736567147,24.562936388202736,0.6592041028271101,0.35232347753828164,0.05206723262443043,0.37268283608429265,0.36040417063979385,0.0068118182804406515,0.034406464092950735,0.725784675440023,2.1896209737699217,0.42894086747327353,0.059266221172632305,14.547683740165017,0,3,0.0,0.0,0.0,5.6,0.05
0.037039618032796796,35.05530293751489,0.6914374344321255,0.4170116050032898,0.04345140657904241,0.31499529524795705,0.7657420788221645,0.000306814257884082,0.03923059418786371,0.35585052515465176,5.759588073232474,0.9648361890444076,0.05247863905671665,14.070002643502939,3,3,1.0,1.0,1.0,28.821875,0.996875
0.10084528844905792,44.36102357846835,0.6323475272807452,0.2946454069888426,0.0465822672803876,0.0943750841701696,0.6055580412847288,0.00955027138684728,0.03654063677788779,0.46562158107863877,5.774644156471588,7.611349752492972,0.05580112697185988,13.577180914415582,0,3,0.0,0.0,0.0,4.10625,0.0
0.05201517401802753,92.46008087094853,0.6761193157271147,0.2826290295413725,0.06822350646916236,0.21775895318430216,0.5735795415576146,0.0010123746672277966,0.07808120076605332,0.7902733120074903,0.6831405368852732,1.1702214906350026,0.07051347253904515,11.218244485982797,0,3,0.0,0.0,0.0,4.178125,0.0
0.12922636215961514,76.30028882473263,0.6824024655862441,0.3668976866762338,0.07646172476711496,0.1303021345343875,0.6743566836955311,0.0008584429727061122,0.10997002768036566,0.48344513330464234,2.9845251666095356,2.256577152651782,0.07939785421438321,13.236770538651706,3,3,1.0,1.0,1.0,25.221875,0.990625
0.1239349244523164,81.5151311801597,0.6971512810541219,0.3597989994657246,0.042175965131227025,0.013825083307018763,0.5192390806509033,0.00010532763604347664,0.04209199007232652,0.6199353121273175,6.187575614058035,4.622171750716315,0.05646178639513749,16.36477005369589,0,3,0.0,0.0,0.0,7.921875,0.065625
0.19512483437884798,27.337972564673038,0.6215908661000882,0.2861949506033983,0.06386712659169744,0.25424057530981514,0.6535181065980218,0.00035230467733352277,0.06026749032970474,0.7075691775703936,4.11420712656447,5.058878820368035,0.0513139253920879,14.26639258689513,0,3,0.0,0.0,0.0,3.60625,0.0
0.08360985906024754,48.022321797925976,0.6394648597233988,0.2769211475130359,0.05890421112707879,0.3968167606308797,0.47643485177980566,0.002932266860157085,0.06690665835911844,0.6320946796443212,4.737698775736774,7.799530263425938,0.06288240456595881,16.783668456088655,0,3,0.0,0.0,0.0,3.74375,0.0
