topology,network_realization,graph_seed,contact_probability,duration_years,ignitions,agent_replicates,ignition_probability,median_final_repertoire,median_first_ignition_year_if_any,density,clustering,mean_shortest_path,degree_cv,modularity
Erdos-Renyi,11,20271305,0.04,1500,0,8,0.0,7.043749999999999,5550.0,0.1833333333333333,0.15625,2.7,0.4165977904505309,0.4287190082644627
Erdos-Renyi,12,20271306,0.04,1500,1,8,0.125,7.753125,4737.5,0.1833333333333333,0.0812499999999999,2.6083333333333334,0.5222329678670935,0.3564049586776859
Erdos-Renyi,13,20271307,0.04,1500,2,8,0.25,10.9421875,4325.0,0.2166666666666666,0.1916666666666666,2.175,0.5044183480232308,0.3025147928994083
Erdos-Renyi,14,20271308,0.04,1500,0,8,0.0,7.81875,8062.5,0.1833333333333333,0.11875,2.45,0.5677270907634907,0.3212809917355372
Erdos-Renyi,15,20271309,0.04,1500,0,8,0.0,5.078125,5050.0,0.1583333333333333,0.0458333333333333,3.0,0.5545080922554073,0.4168975069252077
Erdos-Renyi,16,20271310,0.04,1500,1,8,0.125,9.153125,4612.5,0.25,0.3370535714285714,2.066666666666667,0.4944132324730442,0.2911111111111111
Erdos-Renyi,17,20271311,0.04,1500,1,8,0.125,7.4515625,7287.5,0.2083333333333333,0.0270833333333333,2.25,0.4214261501141095,0.3016
Erdos-Renyi,18,20271312,0.04,1500,1,8,0.125,10.8,4337.5,0.325,0.2303571428571428,1.8416666666666663,0.3391988860339218,0.1817882971729125
Erdos-Renyi,19,20271313,0.04,1500,1,8,0.125,6.3078125,5387.5,0.1833333333333333,0.1586309523809523,2.75,0.6863485850246136,0.3150826446280991
Erdos-Renyi,0,20338137,0.06,1500,3,8,0.375,7.346875,4075.0,0.2083333333333333,0.2020833333333333,2.425,0.3898717737923585,0.3352
Erdos-Renyi,1,20338138,0.06,1500,2,8,0.25,15.890625,3987.5,0.2083333333333333,0.1687499999999999,2.658333333333333,0.4059556626036887,0.3455999999999999
Erdos-Renyi,2,20338139,0.06,1500,2,8,0.25,11.371875,4300.0,0.2166666666666666,0.1854166666666666,2.3,0.335299918733898,0.3542899408284024
Erdos-Renyi,3,20338140,0.06,1500,1,8,0.125,10.1453125,4237.5,0.1833333333333333,0.14375,2.683333333333333,0.4359846839375199,0.3636363636363636
Erdos-Renyi,4,20338141,0.06,1500,2,8,0.25,12.978125,4050.0,0.1916666666666666,0.0375,2.466666666666667,0.3450979970953814,0.327977315689981
Erdos-Renyi,5,20338142,0.06,1500,2,8,0.25,10.021875,4537.5,0.2583333333333333,0.175,2.0083333333333333,0.3273835988739425,0.2497398543184183
Erdos-Renyi,6,20338143,0.06,1500,3,8,0.375,7.6296875,4500.0,0.2333333333333333,0.2214285714285714,2.2416666666666667,0.4948716593053935,0.309311224489796
Erdos-Renyi,7,20338144,0.06,1500,0,8,0.0,12.4515625,4225.0,0.2,0.0895833333333333,2.466666666666667,0.5137011669140813,0.3342013888888889
Erdos-Renyi,8,20338145,0.06,1500,2,8,0.25,11.75625,4250.0,0.2166666666666666,0.1229166666666666,2.225,0.4418894343490791,0.2847633136094675
Erdos-Renyi,9,20338146,0.06,1500,3,8,0.375,8.221875,3850.0,0.2333333333333333,0.2833333333333333,2.075,0.4948716593053935,0.2799744897959183
Erdos-Renyi,10,20338147,0.06,1500,2,8,0.25,8.5453125,4250.0,0.2166666666666666,0.1458333333333333,2.275,0.455083060238432,0.360207100591716
Erdos-Renyi,11,20338148,0.06,1500,0,8,0.0,7.426562499999999,4325.0,0.2166666666666666,0.4485119047619047,2.3916666666666666,0.4925480182640652,0.3986686390532544
Erdos-Renyi,12,20338149,0.06,1500,2,8,0.25,8.728125,4262.5,0.2583333333333333,0.3511904761904761,2.25,0.4363790083376994,0.2960457856399583
Erdos-Renyi,13,20338150,0.06,1500,0,8,0.0,6.903125,4750.0,0.1666666666666666,0.09375,2.941666666666667,0.3464101615137754,0.47875
Erdos-Renyi,14,20338151,0.06,1500,2,8,0.25,17.340625,3950.0,0.2583333333333333,0.1833333333333333,2.0166666666666666,0.3518939391817972,0.2767950052029136
Erdos-Renyi,15,20338152,0.06,1500,1,8,0.125,11.0859375,4150.0,0.1916666666666666,0.24375,2.6666666666666665,0.4237736671656071,0.439508506616257
Erdos-Renyi,16,20338153,0.06,1500,2,8,0.25,11.5234375,4025.0,0.25,0.1166666666666666,2.0083333333333333,0.3333333333333333,0.2338888888888889
Erdos-Renyi,17,20338154,0.06,1500,5,8,0.625,20.6109375,3975.0,0.2416666666666666,0.15,2.158333333333333,0.4456154477006926,0.2621878715814507
Erdos-Renyi,18,20338155,0.06,1500,0,8,0.0,11.225,4262.5,0.2,0.1354166666666666,2.325,0.4249182927993987,0.3550347222222222
Erdos-Renyi,19,20338156,0.06,1500,1,8,0.125,7.890625,4375.0,0.15,0.03125,3.1083333333333334,0.5328701692569688,0.4398148148148147
Erdos-Renyi,0,20279309,0.08,1500,2,8,0.25,9.8171875,4250.0,0.275,0.3194940476190476,1.9916666666666667,0.3916014540400026,0.2874196510560147
Erdos-Renyi,1,20279310,0.08,1500,1,8,0.125,11.9828125,4225.0,0.1833333333333333,0.15,2.45,0.5061603966209111,0.3605371900826446
Erdos-Renyi,2,20279311,0.08,1500,2,8,0.25,11.8875,4187.5,0.2166666666666666,0.3255952380952381,2.3666666666666667,0.4679048100229399,0.3720414201183432
Erdos-Renyi,3,20279312,0.08,1500,5,8,0.625,20.0140625,3875.0,0.2083333333333333,0.09375,2.283333333333333,0.4363484845854286,0.3336
Erdos-Renyi,4,20279313,0.08,1500,1,8,0.125,7.8953125,3800.0,0.1666666666666666,0.0854166666666666,2.8,0.469041575982343,0.36625
Erdos-Renyi,5,20279314,0.08,1500,2,8,0.25,9.059375,4100.0,0.225,0.0895833333333333,2.216666666666667,0.312079621228754,0.2668038408779149
Erdos-Renyi,6,20279315,0.08,1500,4,8,0.5,17.3234375,4062.5,0.1833333333333333,0.1770833333333333,2.708333333333333,0.3962635403218794,0.4245867768595041
Erdos-Renyi,7,20279316,0.08,1500,2,8,0.25,15.01875,4100.0,0.175,0.2979166666666666,2.7416666666666667,0.6153737134914327,0.4478458049886621
Erdos-Renyi,8,20279317,0.08,1500,3,8,0.375,15.0953125,4050.0,0.175,0.09375,2.725,0.2973808570665904,0.3741496598639455
Erdos-Renyi,9,20279318,0.08,1500,1,8,0.125,6.1171875,7875.0,0.225,0.125,2.208333333333333,0.3758848727811933,0.2633744855967078
Erdos-Renyi,10,20279319,0.08,1500,5,8,0.625,22.375,3925.0,0.2166666666666666,0.2193452380952381,2.216666666666667,0.455083060238432,0.3136094674556213
Erdos-Renyi,11,20279320,0.08,1500,4,8,0.5,17.271875,3912.5,0.25,0.1020833333333333,2.183333333333333,0.4268749491621899,0.2505555555555556
Erdos-Renyi,12,20279321,0.08,1500,2,8,0.25,9.0953125,4425.0,0.2416666666666666,0.1632440476190476,2.0416666666666665,0.5056164930556959,0.2443519619500594
Erdos-Renyi,13,20279322,0.08,1500,1,8,0.125,10.7484375,4050.0,0.225,0.1645833333333333,2.25,0.4303314829119352,0.3038408779149519
Erdos-Renyi,14,20279323,0.08,1500,1,8,0.125,9.53125,4100.0,0.25,0.3696428571428571,2.083333333333333,0.4570436400267362,0.2827777777777778
Erdos-Renyi,15,20279324,0.08,1500,5,8,0.625,21.6171875,3662.5,0.2583333333333333,0.1854166666666666,2.025,0.3144127208002891,0.2585848074921956
Erdos-Renyi,16,20279325,0.08,1500,2,8,0.25,14.33125,4150.0,0.2166666666666666,0.1735119047619047,2.175,0.4679048100229399,0.3461538461538461
Erdos-Renyi,17,20279326,0.08,1500,3,8,0.375,19.8546875,4325.0,0.2416666666666666,0.0833333333333333,2.1,0.363298405270784,0.2360285374554102
Erdos-Renyi,18,20279327,0.08,1500,7,8,0.875,24.8,3887.5,0.25,0.06875,2.0166666666666666,0.4371625682868,0.2061111111111111
Erdos-Renyi,19,20279328,0.08,1500,4,8,0.5,15.046875,3687.5,0.2583333333333333,0.2452380952380952,1.95,0.3748048399555564,0.2596253902185223
Erdos-Renyi,0,20296641,0.12,1500,7,8,0.875,26.696875,3875.0,0.1833333333333333,0.1416666666666666,2.3833333333333333,0.5061603966209111,0.3729338842975206
Erdos-Renyi,1,20296642,0.12,1500,6,8,0.75,27.565625,3750.0,0.3333333333333333,0.1878472222222222,1.7833333333333334,0.3391164991562634,0.124375
Erdos-Renyi,2,20296643,0.12,1500,6,8,0.75,27.4609375,3687.5,0.25,0.2020833333333333,2.058333333333333,0.3464101615137754,0.2861111111111111
Erdos-Renyi,3,20296644,0.12,1500,6,8,0.75,26.8515625,3762.5,0.2083333333333333,0.1458333333333333,2.525,0.529150262212918,0.296
Erdos-Renyi,4,20296645,0.12,1500,6,8,0.75,24.9578125,3762.5,0.2666666666666666,0.2598214285714286,2.091666666666667,0.4506939094329986,0.25732421875
Erdos-Renyi,5,20296646,0.12,1500,5,8,0.625,19.61875,3950.0,0.2333333333333333,0.2386904761904761,2.2,0.5439837932759934,0.2691326530612244
Erdos-Renyi,6,20296647,0.12,1500,5,8,0.625,26.1734375,3850.0,0.2833333333333333,0.3119047619047619,1.9083333333333332,0.305656024865096,0.2677335640138408
Erdos-Renyi,7,20296648,0.12,1500,6,8,0.75,27.4078125,3912.5,0.2083333333333333,0.05625,2.408333333333333,0.46475800154489,0.2712
Erdos-Renyi,8,20296649,0.12,1500,5,8,0.625,25.175,4037.5,0.3083333333333333,0.2842261904761904,1.95,0.4247630715000463,0.2297297297297297
Erdos-Renyi,9,20296650,0.12,1500,2,8,0.25,8.2796875,4050.0,0.1916666666666666,0.1526785714285714,2.4,0.5482400092573257,0.3260869565217391
Erdos-Renyi,10,20296651,0.12,1500,6,8,0.75,26.207812500000003,3937.5,0.25,0.3421130952380952,2.0166666666666666,0.5374838498865699,0.2661111111111111
Erdos-Renyi,11,20296652,0.12,1500,4,8,0.5,21.8578125,4025.0,0.2583333333333333,0.3107142857142857,2.0416666666666665,0.3008831952609295,0.3033298647242455
Erdos-Renyi,12,20296653,0.12,1500,4,8,0.5,19.7359375,4037.5,0.25,0.1875,2.0166666666666666,0.447213595499958,0.2494444444444444
Erdos-Renyi,13,20296654,0.12,1500,5,8,0.625,25.6328125,3687.5,0.2,0.1145833333333333,2.458333333333333,0.3726779962499649,0.359375
Erdos-Renyi,14,20296655,0.12,1500,6,8,0.75,26.8375,3937.5,0.2333333333333333,0.3889880952380952,2.1083333333333334,0.4844521416518049,0.3488520408163265
Erdos-Renyi,15,20296656,0.12,1500,5,8,0.625,25.1796875,3987.5,0.1833333333333333,0.21875,2.8666666666666667,0.5061603966209111,0.4142561983471073
Erdos-Renyi,16,20296657,0.12,1500,4,8,0.5,18.4875,4175.0,0.175,0.30625,2.658333333333333,0.4441609072899436,0.4659863945578231
Erdos-Renyi,17,20296658,0.12,1500,5,8,0.625,20.946875,4125.0,0.2333333333333333,0.1778273809523809,2.2583333333333333,0.5150787536377127,0.2506377551020408
Erdos-Renyi,18,20296659,0.12,1500,7,8,0.875,25.928125,3700.0,0.2,0.0999999999999999,2.408333333333333,0.3726779962499649,0.3420138888888889
Erdos-Renyi,19,20296660,0.12,1500,6,8,0.75,27.45625,3562.5,0.2333333333333333,0.0791666666666666,2.125,0.3030457633656632,0.2876275510204081
Erdos-Renyi,0,20334774,0.18,1500,5,8,0.625,27.4625,3675.0,0.275,0.2485119047619047,1.9666666666666663,0.3075421686391582,0.2943067033976125
Erdos-Renyi,1,20334775,0.18,1500,7,8,0.875,27.6,3625.0,0.2083333333333333,0.0791666666666666,2.3833333333333333,0.3730951621235526,0.3671999999999999
Erdos-Renyi,2,20334776,0.18,1500,5,8,0.625,26.2140625,4062.5,0.2666666666666666,0.2934523809523809,2.0,0.4506939094329986,0.25244140625
Erdos-Renyi,3,20334777,0.18,1500,8,8,1.0,27.65,3575.0,0.225,0.1958333333333333,2.158333333333333,0.5725786975459373,0.2544581618655692
Erdos-Renyi,4,20334778,0.18,1500,5,8,0.625,24.9,4025.0,0.1416666666666666,0.0375,2.9833333333333334,0.548669356064048,0.4480968858131487
Erdos-Renyi,5,20334779,0.18,1500,7,8,0.875,27.771875,3562.5,0.3166666666666666,0.1875,1.8666666666666667,0.2734817064582437,0.1900969529085872
Erdos-Renyi,6,20334780,0.18,1500,6,8,0.75,27.3671875,3625.0,0.2333333333333333,0.1124999999999999,2.1083333333333334,0.3642156795423417,0.278061224489796
Erdos-Renyi,7,20334781,0.18,1500,5,8,0.625,25.15,4000.0,0.2416666666666666,0.3717261904761905,2.1333333333333333,0.524092557019678,0.3145065398335315
Erdos-Renyi,8,20334782,0.18,1500,5,8,0.625,19.6140625,4275.0,0.225,0.1601190476190476,2.15,0.4670192671451293,0.2873799725651577
Erdos-Renyi,9,20334783,0.18,1500,7,8,0.875,26.6203125,3525.0,0.1833333333333333,0.2833333333333333,2.4916666666666667,0.4545454545454545,0.4287190082644628
Erdos-Renyi,10,20334784,0.18,1500,7,8,0.875,27.471875,3875.0,0.2083333333333333,0.0625,2.316666666666667,0.4507771067833858,0.2792
Erdos-Renyi,11,20334785,0.18,1500,3,8,0.375,15.703125,4125.0,0.225,0.3270833333333333,2.475,0.4899539464934427,0.3285322359396433
Erdos-Renyi,12,20334786,0.18,1500,5,8,0.625,21.9234375,4000.0,0.1833333333333333,0.1687499999999999,3.0,0.4165977904505309,0.4421487603305785
Erdos-Renyi,13,20334787,0.18,1500,7,8,0.875,27.6984375,3562.5,0.2166666666666666,0.0666666666666666,2.2333333333333334,0.4679048100229399,0.275887573964497
Erdos-Renyi,14,20334788,0.18,1500,5,8,0.625,27.5375,3812.5,0.1666666666666666,0.1309523809523809,2.775,0.565685424949238,0.3725
Erdos-Renyi,15,20334789,0.18,1500,5,8,0.625,27.009375,3900.0,0.2416666666666666,0.2041666666666666,2.1083333333333334,0.4561640191490673,0.3091557669441142
Erdos-Renyi,16,20334790,0.18,1500,5,8,0.625,27.5796875,3575.0,0.2833333333333333,0.2014880952380952,1.9916666666666667,0.3578095606057776,0.2781141868512111
Erdos-Renyi,17,20334791,0.18,1500,6,8,0.75,27.2453125,3562.5,0.1916666666666666,0.0791666666666666,2.308333333333333,0.3663543379641895,0.3241965973534972
Erdos-Renyi,18,20334792,0.18,1500,4,8,0.5,17.41875,4150.0,0.2166666666666666,0.3638888888888889,2.2666666666666666,0.6105579948610594,0.3039940828402367
Erdos-Renyi,19,20334793,0.18,1500,5,8,0.625,27.6796875,3800.0,0.225,0.2125,2.2666666666666666,0.4551187306460929,0.3038408779149519
Global,0,20272139,0.02,1500,13,120,0.1083333333333333,10.096875,4400.0,1.0,1.0,1.0,0.0,0.0
Global,0,20309635,0.04,1500,42,120,0.35,16.0546875,4150.0,1.0,1.0,1.0,0.0,0.0
Global,0,20328419,0.06,1500,64,120,0.5333333333333333,20.790625,3912.5,1.0,1.0,1.0,0.0,0.0
Global,0,20351148,0.08,1500,85,120,0.7083333333333334,26.2234375,3775.0,1.0,1.0,1.0,0.0,0.0
Global,0,20280655,0.12,1500,97,120,0.8083333333333333,27.5875,3775.0,1.0,1.0,1.0,0.0,0.0
Global,0,20353053,0.18,1500,111,120,0.925,27.6515625,3612.5,1.0,1.0,1.0,0.0,0.0
Gravity,0,20336992,0.02,1500,0,8,0.0,8.9875,4825.0,1.0,1.0,1.0,0.0,0.0
Gravity,1,20336993,0.02,1500,1,8,0.125,7.4828125,5675.0,1.0,1.0,1.0,0.0,0.0
Gravity,2,20336994,0.02,1500,1,8,0.125,7.6546875,5462.5,1.0,1.0,1.0,0.0,0.0
